name,prc,rcl,f01
o_celloracle.o_celloracle.o_celloracle.o_celloracle,0.995127892813642,0.0099315609690869,0.5020412136551413
o_collectri.o_collectri.o_collectri.o_collectri,0.9904306220095692,0.017743653796701,0.641985760847155
o_dictys.o_dictys.o_dictys.o_dictys,0.971714384270438,0.2789740252390923,0.9483972258836256
o_dorothea.o_dorothea.o_dorothea.o_dorothea,0.9939622641509434,0.0161055605150844,0.6207828331147648
o_granie.o_granie.o_granie.o_granie,0.959308807134894,0.0210800945603312,0.665876241663187
o_linger.o_linger.o_linger.o_linger,0.9810940499040308,0.1334403675712365,0.9230402704782984
o_linger_baseline.o_linger_baseline.o_linger_baseline.o_linger_baseline,,,
o_pando.o_pando.o_pando.o_pando,0.8957002979991485,0.0253115826957316,0.6682011420521721
o_random.o_random.o_random.o_random,0.9151515151515152,0.0239758653540806,0.6689621896657602
o_scenic.o_scenic.o_scenic.o_scenic,0.992556917688266,0.0280309119010819,0.7403346536254142
o_scenicplus.o_scenicplus.o_scenicplus.o_scenicplus,0.9733809205145364,0.1749876355081472,0.9313099637884048
