name,prc,rcl,f01
o_celloracle.o_celloracle.o_celloracle.o_celloracle,0.6735688185140073,0.0748511099079588,0.624139549436796
o_collectri.o_collectri.o_collectri.o_collectri,1.0,0.2059693087427847,0.9632340958129892
o_dictys.o_dictys.o_dictys.o_dictys,0.2334302468831617,0.6210829946243608,0.2348817606129233
o_dorothea.o_dorothea.o_dorothea.o_dorothea,1.0,0.1855742296918767,0.9583572042394728
o_granie.o_granie.o_granie.o_granie,0.3818283166109253,0.0944697283133361,0.3706650379585429
o_linger.o_linger.o_linger.o_linger,0.1943378119001919,0.2734269511207129,0.194895969720013
o_linger_baseline.o_linger_baseline.o_linger_baseline.o_linger_baseline,,,
o_pando.o_pando.o_pando.o_pando,0.1549595572584078,0.0489247311827957,0.1517042172154823
o_random.o_random.o_random.o_random,0.1934731934731934,0.0567637806045684,0.188967183773573
o_scenic.o_scenic.o_scenic.o_scenic,1.0,0.3301532234749927,0.9803074987888728
o_scenicplus.o_scenicplus.o_scenicplus.o_scenicplus,0.1993456762584578,0.3676127793774852,0.2002532182905842
