,class,task,db,org,dts,name_before,prc_before,rcl_before,f01_before,name_after,prc_after,rcl_after,f01_after,prc_delta,rcl_delta,f01_delta
0,Literature,TF Markers,HPA,hg38,PBMC,LINGER,0.281767955801105,0.5177664974619289,0.2830453059318076,LINGER,0.2737127371273712,0.5126903553299492,0.2749818044585815,-0.008055218673733766,-0.005076142131979711,-0.008063501473226098
1,Literature,TF Markers,TF-Marker,hg38,PBMC,LINGER,0.1795580110497237,0.4421768707482993,0.1806201337111729,LINGER,0.1815718157181571,0.4557823129251701,0.1826598644964504,0.0020138046684334,0.013605442176870763,0.002039730785277527
2,Literature,TF Pairs,IntAct,hg38,PBMC,LINGER,0.0322388059701492,0.5294117647058824,0.0325413777878545,LINGER,0.0321477428180574,0.4607843137254901,0.0324465830952413,-9.106315209179983e-05,-0.06862745098039225,-9.479469261319817e-05
3,Literature,TF Pairs,Europe PMC,hg38,PBMC,LINGER,0.0147872131790547,0.4724310776942356,0.014930412053807,LINGER,0.0140763524516012,0.487468671679198,0.0142130117664593,-0.0007108607274535009,0.015037593984962405,-0.0007174002873476994
4,Literature,Reference GRN,CollecTRI,hg38,PBMC,LINGER,0.00333,0.0143819642394402,0.0033555306044384,LINGER,0.0090045914500958,0.0087241945236244,0.0090017269267322,0.005674591450095801,-0.005657769715815801,0.005646196322293799
5,Predictive,Gene Sets,Reactome,hg38,PBMC,LINGER,0.6014760147601476,0.953216374269006,0.6036815664992116,LINGER,0.7626811594202898,0.8206627680311891,0.7632150485524025,0.16120514466014224,-0.13255360623781687,0.15953348205319096
6,Predictive,Gene Sets,KEGG,hg38,PBMC,LINGER,0.6,0.8793103448275862,0.601892965646179,LINGER,0.723404255319149,0.5862068965517241,0.7217318200924758,0.123404255319149,-0.2931034482758621,0.11983885444629683
7,Predictive,Gene Sets,PROGENy,hg38,PBMC,LINGER,0.3,1.0,0.3020937188434696,LINGER,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.36666666666666664,-0.33333333333333337,0.36457294782319705
8,Predictive,Gene Sets,Hallmarks,hg38,PBMC,LINGER,0.5405405405405406,1.0,0.5430107526881721,LINGER,0.7391304347826086,0.85,0.7400862068965517,0.19858989424206808,-0.15000000000000002,0.19707545420837957
9,Predictive,Omics,Gene ~ TFs,hg38,PBMC,LINGER,0.8756082725060828,0.3514404296875,0.8628661807995441,LINGER,0.7041530564629025,0.09210205078125,0.6606830122591943,-0.17145521604318026,-0.25933837890625,-0.2021831685403498
10,Predictive,Omics,CRE ~ TFs,hg38,PBMC,LINGER,,,,LINGER,0.0216543513957307,0.0032196044921875,0.0204926072373684,,,
11,Predictive,Omics,Gene ~ CREs,hg38,PBMC,LINGER,,,,LINGER,0.2253649635036496,0.0301513671875,0.2117885764737843,,,
12,Genomic,TF Binding,ReMap 2022,hg38,PBMC,LINGER,,,,LINGER,0.1417445026791204,0.0052609557964517,0.1127768006965787,,,
13,Genomic,TF Binding,ChIP-Atlas,hg38,PBMC,LINGER,,,,LINGER,0.0619702392164249,0.0062305671382776,0.0569278087001105,,,
14,Genomic,TF Binding,UniBind,hg38,PBMC,LINGER,,,,LINGER,0.1341981823512166,0.0059984012999266,0.1107604716682797,,,
15,Genomic,CREs,ENCODE CREs,hg38,PBMC,LINGER,,,,LINGER,0.9810940499040308,0.1334403675712365,0.9230402704782984,,,
16,Genomic,CREs,Zhang21,hg38,PBMC,LINGER,,,,LINGER,0.9708253358925144,0.1489377364879786,0.9205303800901148,,,
17,Genomic,CREs,Promoters,hg38,PBMC,LINGER,,,,LINGER,0.1943378119001919,0.2734269511207129,0.194895969720013,,,
18,Genomic,CREs,GWAS Catalog,hg38,PBMC,LINGER,,,,LINGER,0.0120921305182341,0.3173803526448362,0.0122084004462791,,,
19,Genomic,CREs,phastCons,hg38,PBMC,LINGER,,,,LINGER,0.5380998080614203,0.1209708737864077,0.5203353700555887,,,
20,Genomic,CREs,ENCODE Blacklist,hg38,PBMC,LINGER,,,,LINGER,0.9953934740882916,0.137255680389588,0.9373684083370392,,,
21,Genomic,CRE to Gene,eQTL Catalogue,hg38,PBMC,LINGER,,,,LINGER,0.0614086487753427,0.0224449584511265,0.0603710049438427,,,
22,Mechanistic,TF Scoring,KnockTF,hg38,PBMC,LINGER,0.05,0.023391812865497,0.0494431526128992,LINGER,0.0121951219512195,0.0058479532163742,0.0120654641022577,-0.0378048780487805,-0.0175438596491228,-0.0373776885106415
23,Mechanistic,Steady State Simulation,Boolean rules,hg38,PBMC,LINGER,0.0,0.0,0.0,LINGER,0.0,0.0,0.0,0.0,0.0,0.0
24,Mechanistic,Perturbation Forecasting,KnockTF,hg38,PBMC,LINGER,0.0365853658536585,0.0175438596491228,0.0361963923067733,LINGER,0.0240963855421686,0.0116959064327485,0.0238460630386022,-0.0124889803114899,-0.0058479532163743,-0.012350329268171104
