name,n_tfs,n_cres,n_targets,n_edges,odegree,betweenc,eigv
o_directnet.o_directnet.o_directnet.o_directnet,220,9774,2999,163206,741.8454545454546,197.08128544423437,0.27733644346049857
o_dictys.o_dictys.o_dictys.o_dictys,226,20293,8706,24121,106.73008849557522,578.6304622089689,0.11946244562837298
o_celloracle.o_celloracle.o_celloracle.o_celloracle,66,821,618,1793,27.166666666666668,47.23700305810397,0.1712634398419948
o_collectri.o_collectri.o_collectri.o_collectri,244,1463,1487,7261,29.758196721311474,242.84942319368545,0.06101365792163548
o_scenic.o_scenic.o_scenic.o_scenic,266,2284,2345,4368,16.42105263157895,1.3686690223792697,0.018425179500641785
o_linger.o_linger.o_linger.o_linger,369,10420,2193,22433,60.794037940379404,187.22763900080577,0.05536073804292015
o_linger_baseline.o_linger_baseline.o_linger_baseline.o_linger_baseline,398,2699,727,22446,56.39698492462311,22.066968325791855,0.04117647058823528
o_crema.o_crema.o_crema.o_crema,93,30460,90,3568,38.365591397849464,53.83870967741937,0.5025446193659859
o_scenicplus.o_scenicplus.o_scenicplus.o_scenicplus,99,13449,4379,19022,192.14141414141415,119.50489414978378,0.13185058554111398
o_granie.o_granie.o_granie.o_granie,178,1794,2216,3834,21.53932584269663,2.397033898305085,0.044703389830508526
o_dorothea.o_dorothea.o_dorothea.o_dorothea,166,1325,1349,3333,20.07831325301205,120.98914518317504,0.06189084116709696
o_random.o_random.o_random.o_random,311,2145,2004,2853,9.17363344051447,0.24802458296751537,0.0
o_pando.o_pando.o_pando.o_pando,375,2349,334,4885,13.026666666666667,264.94946401225104,0.1174677361671385
